id,name,popularity
0Mn3amMRMoabaoTf1Publ4,Confident,72
2DPYlWl50ydYsnnuryL5aX,Cooler Than Me,59
1V6gIisPpYqgFeWbMLI0bA,Heart Attack,71
61HQWI1Woxup7CnGwVUsdI,Written in the Stars (feat. Eric Turner),52
4lLtanYk6tkMvooU0tWzG8,Grenade,71
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,76
0PGLRTN0X6DrXh645WJCIY,I Really Like You,64
45sDIKapDyxPl307QpEAwl,Rocketeer,60
2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,73
2GyA33q5rti5IxkMQemRDH,I Know What You Did Last Summer,71
3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,66
7gUpO6td4OOnu0Lf9vhcIV,Lights - Single Version,58
4E6cwWJWZw2zWf7VFbH7wf,Love Song,74
70eDxAyAraNTiD6lx2ZEnH,Ex's & Oh's,69
0YSJCrlSWF3meRTNCu54WI,Make Me... (feat. G-Eazy),51
3a2tuvXCHbW5nuUckuHkKT,Little Talks,61
2RqtfcLB7iOZj0zYB8Auhu,Jealous,64
7AEAGTc8cReDqcbPoY9gwo,We Are Never Ever Getting Back Together,60
2ULNeSomDxVNmdDy8VxEBU,22,56
2TF4UtYreqNbQ6Z9AccldU,Teardrops On My Guitar - Radio Single Remix,55
0cITLOYn1Sv4q27zZPqlNK,Red,55
3A6wCRe6QoH7Ea5JMpnRB8,Dancing With Our Hands Tied,9
20FZrLl9zSbO9b3DhaqO6M,23,67
2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,72
7FESgYLcOufHqKlwrvJN60,Feel It Still,65
6TqXcAFInzjp0bODyvrWEq,Talk,85
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),87
2BM7nF0pMIpLQOT04o691Z,Hurts 2B Human (feat. Khalid),61
14oOKFGuXu8DqvOe1W8vao,Bon Appétit,8
5pD9x23lsoQr464mlmaKNJ,Chained To The Rhythm,10
0bHA8LApeZHv7ZlhVUWg8X,American Oxygen,58
7xHWNBFm6ObGEQPaUxHuKO,The Greatest,72
4kWO6O1BUXcZmaxitpVUwp,Jackie Chan,79
2bllegdYt2WoYdbRZyJ730,Capital Letters,43
5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,91
0CZ8lquoTX2Dkg7Ak2inwA,1950,78
33IOhptvC2Qoy2UhjiHXLV,Flames,76
1FUViuNSldssMIawrOXF2i,I Got You,63
43wzy7JxMEfvCh8ZFeZKYk,Right Now,73
340UVheS8z3ncW9TTUhAbc,Nightmare,83
4NBTZtAt1F13VvlSKe6KTl,This Feeling,81
6r05pfZigq7Arg25pi2vRm,Checklist (with Calvin Harris) (feat. WizKid),54
2qHk6Nz5glNQrjW8Rhd5kv,Waves (feat. 6LACK),68
7kJlTKjNZVT26iwiDUVhRm,Blow Your Mind (Mwah),69
5ubwXXOsH9bUhZsQ0Cybha,Level Up,69
3L4GsGLgxpHieVQH86H8bv,Bed (feat. Ariana Grande),69
3WefHNGtjexZvi66ZEx9u4,Hurts Like Hell (feat. Offset),76
5MvLsT03RBp67RLoeISCdl,Do You Mean (feat. Ty Dolla $ign & bülow),69
15xWRPHQMeqgdkGzInx3PY,Falling like the Stars,80
0L1IszgjzIZRBENyHJTQms,Dear Society,76
1VsqQEYObJsOPaeZwEXRPg,Love Thru The Computer (feat. Justin Bieber),67
0rQtoQXQfwpDW0c7Fw1NeM,!!!!!!!,21
4QIo4oxwzzafcBWkKjDpXY,xanny,82
3XF5xLJHOQQRbWya6hBp7d,you should see me in a crown,84
6IRdLKIyS4p7XNiP8r6rsx,all the good girls go to hell,82
3Fj47GNK2kUF0uaEDgXLaD,wish you were gay,86
6X29iaaazwho3ab7GNue5r,8,79
3Tc57t9l2O8FwQZtQOvPXK,my strange addiction,83
4SSnFejRGlZikf02HLewEF,bury a friend,88
7qEKqBCD2vE5vIBsrUitpD,ilomilo,80
0tMSssfxAL2oV8Vri0mFHE,listen before i go,80
6CcJMwBtXByIz4zQLzFkKc,i love you,84
3LgWsmilsrWXiPYQFRD0T7,goodbye,77
5QiNbIilmMiMBXvaAlf7lN,Who Do You Love,73
7COXchtUOMd6uIT6HvmRaI,i'm so tired...,86
11EDhDAVDtGPoSar6ootYA,Strangers,65
6Hgh47WXVKtXN5zGOu0hjI,OTW,77
6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),79
116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),84
2c7GlMNmF7pbohjykutmLP,Thunderclouds,44
10Igtw8bSDyyFs7KIsKngZ,Freaky Friday (feat. Chris Brown),77
5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",78
0QIjsbm2fh1cJ45XO9eGqq,Wake Up in the Sky,79
0s3nnoMeVWz3989MkNQiRf,Lucid Dreams,24
3lSDIJ2abCrOdDJ6pshUap,Close,70
60zCXVn6QyD4TddmlvnXYw,Rock Bottom,5
3PoH8BqaZj9azNQjL93iYu,Give Me Your Love - Radio Edit,3
7mTgsbq7n8jgnwLswpgugB,On Your Side,55
0171XsIM2xyeXRr6wsugEI,Boyfriend,60
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,79
3husjxyCMBvNeiTEcrpPSe,Unfaithful,12
1dI1pt7GNjMI6pbSOd2MD6,Kiss It Better,7
3mmjD9G2HUUzDbFl3NRDLM,Take A Bow,11
2e2XwMMNEdERsHLpOg7aEM,Russian Roulette,7
5bXd8zA39HyVPdfcFqR3lK,Rehab,8
0N8MGHEDAq29ip7RrlrTeN,Beach House,20
2jZIfoe48eUeOEnP9Ho4h2,No One Compares To You,26
2F83FxNVkK6PPMHuYnwyVc,Let It Be Me (feat. Ava Max),69
4m4aiyWCBH011DhxQeoWt1,Corner Store (feat. Dave B & Travis Thompson),59
2UVbBKQOdFAekPTRsnkzcf,Stir Fry,74
2qcG0nZ6S3zZV0UrkY5nFo,Drip (feat. Migos),69
0XGLsSU6wtfnKXiMNvQr61,Versace (Remix),59
6lDo13SSgTv0WbyUQKgnjk,Light It Up (feat. Nyla & Fuse ODG) - Remix,50
1gugDOSMREb34Xo0c1PlxM,She Looks So Perfect,66
0qOnSQQF0yzuPWsXrQ9paz,Stereo Hearts (feat. Adam Levine),73
3WjyiSbfR74pjWXQ3IaFKJ,Impatient,71
6TjP1C3sGQH1jBfzUXfcMg,Kamikaze,60
6txWz9UapYHVxEd7dDIHXT,No Rain,72
4fwbGKNExPtPHbor1TBSY4,Unconditionally,70
5vL0yvddknhGj7IrBc6UTj,This Is How We Do,62
2DlIwu1iDTILEMXA7MUotn,Beautiful Trauma,67
432fRHq6vKAP11oUDYDPiY,Sober,50
